time,tem,hum,pre,rad,ConfirmedCases,Diff,Res,SPred
2014-01-01,18.5186828,61.99865591,0.015994624,133.9704301,36,-53.0,-36.830254488006474,
2014-02-01,19.87797619,52.65922619,0.087797619,166.9642857,33,-3.0,48.55184570745978,
2014-03-01,23.24663978,53.55376344,0.029301075,193.2231183,64,31.0,-23.615001731384837,
2014-04-01,29.55472222,28.80833333,0.005972222,231.6722222,56,-8.0,63.644218730294945,
2014-05-01,31.39798387,30.54704301,0.005376344,216.7634409,44,-12.0,61.80131231319963,
2014-06-01,31.39930556,42.95,0.038055556,175.1625,133,89.0,93.23379542390968,
2014-07-01,25.59596774,76.43817204,0.470698925,67.10080645,183,50.0,-112.37083079621368,
2014-08-01,24.40430108,84.18548387,0.304569892,91.13575269,186,3.0,-432.94705829907264,
2014-09-01,24.19319444,79.46388889,0.164027778,116.2888889,86,-100.0,221.27698295941477,
2014-10-01,23.8327957,66.53225806,0.023252688,145.0537634,37,-49.0,-26.141705867766404,
2014-11-01,21.87319444,56.05416667,0.032916667,150.2236111,27,-10.0,71.0623671951443,
2014-12-01,17.96451613,54.3655914,0.0125,145.9233871,6,-21.0,9.056287705236244,
2015-01-01,17.47930108,59.0,0.013306452,141.2379032,60,54.0,97.49236310237431,
2015-02-01,21.99613095,46.4077381,0.044494048,177.5625,1953,1893.0,1951.9036307693943,
2015-03-01,23.03723118,54.42204301,0.122177419,192.7204301,2916,963.0,1256.764714493933,
2015-04-01,27.72291667,41.51527778,0.041527778,215.2277778,152,-2764.0,-1590.1473906495444,
2015-05-01,32.2405914,31.03360215,0.018548387,219.1021505,35,-117.0,647.1642263790166,
2015-06-01,27.59708333,68.42916667,0.325555556,121.7819444,11,-24.0,-395.7330224986624,
2015-07-01,24.5563172,80.08870968,0.249327957,67.19623656,22,11.0,-62.610839599754954,
2015-08-01,24.20134409,85.1438172,0.420967742,69.49327957,186,164.0,-406.0160054866593,
2015-09-01,24.58652778,78.92777778,0.150277778,133.8930556,226,40.0,268.6650236513459,
2015-10-01,24.40430108,65.6061828,0.055107527,153.6747312,166,-60.0,-60.97050076748269,
2015-11-01,22.1025,63.43611111,0.000277778,143.0694444,37,-129.0,-38.358403158392576,
2015-12-01,19.51451613,50.1155914,0.003091398,145.4327957,9,-28.0,-15.938737515837428,
2016-01-01,18.79448925,51.18682796,0.004569892,155.3091398,10,1.0,-42.49456483791553,
2016-02-01,22.91336207,46.22270115,0.008908046,166.5775862,35,25.0,-526.7513266905078,
2016-03-01,25.99784946,41.37365591,0.034408602,204.8051075,4,-31.0,-447.14528627121103,
2016-04-01,31.45805556,25.41666667,0.007777778,233.1930556,6,2.0,489.59914911109536,
2016-05-01,31.92473118,34.87365591,0.017876344,216.4166667,3,-3.0,-173.29296828902991,
2016-06-01,29.66930556,58.33611111,0.276805556,152.9152778,6,3.0,71.85726004714518,
2016-07-01,23.96854839,88.96505376,0.86733871,39.62231183,17,11.0,-164.70208723750278,
2016-08-01,23.5077957,87.26747312,0.40483871,43.94623656,14,-3.0,-425.20354300628026,
2016-09-01,24.28194444,83.09027778,0.2575,86.52083333,4,-10.0,144.889844178518,
2016-10-01,22.75981183,68.08064516,0.071236559,152.1317204,7,3.0,-39.10445268632441,
2016-11-01,20.30888889,51.08611111,0.0,169.3236111,2,-5.0,54.69567099842361,
2016-12-01,18.93575269,49.86290323,0.0,161.5080645,7,5.0,21.168867277850897,
2017-01-01,18.64408602,53.04569892,0.002284946,158.6424731,260,253.0,268.4018538107751,
2017-02-01,22.42247024,41.25297619,0.014136905,192.9717262,397,137.0,13.303882102964167,
2017-03-01,26.33145161,28.30241935,0.000134409,223.2983871,277,-120.0,-100.46509947407844,
2017-04-01,31.35361111,17.19027778,0.0,249.0083333,258,-19.0,326.5261036527943,
2017-05-01,32.61223118,28.33870968,0.010215054,213.2540323,188,-70.0,-2.2684664928163443,
2017-06-01,28.08277778,67.7625,0.240555556,140.7458333,41,-147.0,-25.697811189290064,
2017-07-01,24.13696237,83.88575269,0.348790323,52.97849462,211,170.0,88.40673965297565,
2017-08-01,24.41236559,83.65860215,0.211155914,76.47983871,289,78.0,-243.09370028564285,
2017-09-01,24.61402778,82.62777778,0.251388889,105.5083333,213,-76.0,199.9981555599249,
2017-10-01,23.94314516,68.66263441,0.08938172,146.0860215,228,15.0,84.94941874787457,
2017-11-01,20.84972222,56.10277778,0.001388889,148.6527778,136,-92.0,35.97847696654104,
2017-12-01,19.19153226,50.93817204,0.0,145.9852151,89,-47.0,46.089586793493055,
2018-01-01,18.9186828,41.77553763,0.0,171.4354839,187,98.0,74.16395651694125,
2018-02-01,22.0297619,45.47172619,0.02514881,172.610119,81,-106.0,-252.40749645031087,
2018-03-01,26.98400538,28.28763441,0.000268817,200.7110215,36,-45.0,-115.49179567459089,
2018-04-01,30.00916667,26.775,0.016111111,217.9083333,33,-3.0,151.35289139695578,
2018-05-01,33.51948925,24.69354839,0.008467742,212.7620968,10,-23.0,-36.715565853348735,
2018-06-01,27.84736111,67.15,0.245694444,146.2875,9,-1.0,45.59933789331362,
2018-07-01,24.05873656,87.01612903,0.511021505,42.35080645,12,3.0,-153.08890524782782,
2018-08-01,23.57298387,86.22446237,0.289516129,40.23790323,47,35.0,-295.58793959707236,
2018-09-01,23.66055556,79.33611111,0.154166667,117.2527778,485,438.0,580.6720905978467,
2018-10-01,24.12043011,57.41263441,0.002016129,167.1034946,498,13.0,58.89154362615824,
2018-11-01,21.89680556,52.06388889,0.001111111,158.0777778,145,-353.0,-48.52561906723582,
2018-12-01,17.59032258,53.14784946,0.010349462,137.8736559,606,461.0,598.3750416846292,
2019-01-01,17.46532258,50.41532258,0.013037634,158.7768817,2278,1672.0,1734.7451953193702,
2019-02-01,21.07113095,45.13839286,0.005208333,178.1934524,2847,569.0,1024.0287271146422,
2019-03-01,25.39502688,37.73655914,0.011021505,210.2110215,1369,-1478.0,-428.47690495282063,
2019-04-01,30.84055556,23.97361111,0.004722222,216.8666667,595,-774.0,264.68315971729567,
2019-05-01,33.38548387,22.32123656,0.002150538,223.1142473,266,-329.0,-133.31009433228354,
2019-06-01,31.54402778,48.8625,0.140555556,162.1208333,347,81.0,219.15183820788775,
2019-07-01,24.78965054,84.15994624,0.491129032,69.93817204,784,437.0,349.66623630606796,
2019-08-01,23.52580645,88.64247312,0.41061828,39.54032258,696,-88.0,-216.05663820401696,
2019-09-01,23.38583333,91.28472222,0.595694444,40.92361111,661,-35.0,256.8059844254352,
2019-10-01,22.72836022,78.5188172,0.109274194,113.3266129,171,-490.0,-366.5619162784558,
2019-11-01,21.30736111,70.13055556,0.017222222,140.8986111,107,-64.0,129.19560925290403,
2019-12-01,17.84717742,69.15725806,0.046639785,114.2311828,41,-66.0,-273.2288666963167,
2020-01-01,16.57137097,71.1922043,0.04905914,129.4153226,38,-3.0,-476.0936360461044,
2020-02-01,19.3762931,57.32902299,0.027298851,165.9856322,422,384.0,-98.61833211101555,
2020-03-01,23.40833333,53.31989247,0.030376344,182.1478495,175,-247.0,-273.6270230882503,
2020-04-01,28.84361111,33.98472222,0.013888889,213.3652778,1,-174.0,39.29298321944782,
2020-05-01,31.41854839,33.52284946,0.015053763,227.3655914,0,-1.0,-68.24641595491937,
2020-06-01,26.07847222,77.60972222,0.348888889,89.99027778,0,0.0,-90.84687318747184,
2020-07-01,25.10873656,85.62365591,0.304032258,74.04569892,0,0.0,-280.8170607606458,
2020-08-01,23.70013441,89.86962366,0.872983871,38.52419355,0,0.0,-352.030543417685,
2020-09-01,24.90388889,84.78888889,0.294444444,105.8805556,0,0.0,-42.815691422129596,
2020-10-01,23.95981183,70.91801075,0.072580645,126.5564516,9,9.0,-14.28222888782227,
2020-11-01,20.50513889,57.50138889,0.001805556,155.475,2,-7.0,-30.486180985659118,
2020-12-01,18.65053763,57.56989247,0.007258065,136.4758065,5,3.0,-44.991305001505545,
2021-01-01,19.80766129,54.31854839,0.000672043,146.1801075,18,13.0,-174.69090495304795,
2021-02-01,20.9891369,41.71577381,0.013541667,183.5074405,22,4.0,-313.0906841702382,
2021-03-01,25.88602151,33.1344086,0.003763441,202.9583333,44,22.0,-44.96899725125817,
2021-04-01,29.52638889,22.84166667,0.007361111,222.8055556,37,-7.0,95.37278151474885,
2021-05-01,29.63172043,42.5,0.024462366,189.1344086,32,-5.0,-22.728097535944656,
2021-06-01,26.47902778,73.45277778,0.175138889,102.8569444,49,17.0,12.606906206466718,
2021-07-01,24.85188172,82.52016129,0.393951613,80.58333333,439,390.0,255.724898183393,
2021-08-01,23.94099462,85.24596774,0.323387097,68.18010753,1860,1421.0,1232.6582415457356,
2021-09-01,23.6625,88.20416667,0.382638889,68.66944444,1216,-644.0,-149.11599769333702,
2021-10-01,23.17271505,69.96370968,0.061290323,150.8682796,819,-397.0,365.5511599808025,
2021-11-01,21.66041667,57.15972222,0.003194444,133.2166667,188,-631.0,-328.03405970899166,
2021-12-01,18.32876344,58.19086022,0.024193548,128.7634409,65,-123.0,59.4465019330344,
2022-01-01,16.16733871,67.40456989,0.041129032,135.1612903,26,-39.0,-243.3705609515241,
2022-02-01,19.97440476,47.0327381,0.004464286,176.171131,2,-24.0,-240.840199754099,
2022-03-01,26.74973118,30.25268817,0.001344086,208.2956989,7,5.0,-119.77721893708791,
2022-04-01,31.87638889,21.34861111,0.000277778,222.4583333,11,4.0,74.45976551875174,
2022-05-01,32.38723118,30.6827957,0.005107527,210.6680108,60,49.0,-2.7758536913256933,
2022-06-01,29.11861111,58.25972222,0.232222222,129.6430556,38,-22.0,-46.486279589317306,
2022-07-01,23.93696237,89.62903226,0.790860215,42.72311828,119,81.0,,257.92212836309034
2022-08-01,23.91532258,86.6061828,0.721505376,68.73252688,643,524.0,,820.4136432298722
2022-09-01,23.95986111,84.83055556,0.304444444,90.73472222,293,-350.0,,536.6390545407523
2022-10-01,22.11048387,73.12634409,0.160349462,138.9274194,112,-181.0,,333.3046685002842
2022-11-01,19.5875,55.16805556,0.0,170.9736111,40,-72.0,,126.91127091397266
2022-12-01,19.71048387,56.32258065,0.003629032,143.5967742,51,11.0,,106.08161357306261
2023-01-01,18.79327957,57.2688172,0.000806452,154.5416667,234,183.0,,226.10929152275708
2023-02-01,21.80982143,35.09077381,0.0,202.1964286,325,91.0,,385.9552217801962
2023-03-01,24.24959677,42.6344086,0.024865591,178.6922043,406,81.0,,350.67538227821507
2023-04-01,27.21083333,40.91388889,0.054444444,193.2458333,181,-225.0,,115.60377698152857
2023-05-01,29.20793011,41.88037634,0.031317204,212.8844086,162,-19.0,,75.05283136865002
2023-06-01,29.4625,52.31805556,0.26,153.7097222,183,21.0,,83.31642488207908
