time,tem,hum,pre,rad,ConfirmedCases,Diff,Res,SPred
2020-01-01,27.58897849,78.55376344,0.081048387,186.4018817,0,0.0,-2.722841454589907,
2020-02-01,27.71364943,78.97270115,0.081321839,204.0574713,0,0.0,-11.690179092582571,
2020-03-01,28.36680108,74.5,0.017607527,214.3010753,0,0.0,-39.887694921907745,
2020-04-01,28.39819444,77.21527778,0.117222222,189.7,0,0.0,5.821062156703358,
2020-05-01,28.20793011,82.56317204,0.318951613,143.7607527,0,0.0,-68.7944120437597,
2020-06-01,28.26527778,79.90972222,0.099722222,167.9819444,0,0.0,12.236911491233904,
2020-07-01,27.98077957,77.87096774,0.15188172,135.1209677,0,0.0,-24.236144916953137,
2020-08-01,27.97862903,76.65725806,0.052553763,186.2217742,0,0.0,10.132257342704,
2020-09-01,27.35263889,80.49305556,0.218333333,160.225,0,0.0,-4.002335230935594,
2020-10-01,27.24677419,82.74327957,0.206989247,170.2069892,0,0.0,-7.039849095409432,
2020-11-01,27.23263889,79.99861111,0.403194444,166.4277778,0,0.0,-0.05502561351287557,
2020-12-01,27.19233871,80.23387097,0.20188172,163.4932796,0,0.0,-12.562419506149302,
2021-01-01,27.29247312,76.76344086,0.135887097,160.6021505,0,0.0,1.365377293513864,
2021-02-01,27.58869048,75.98958333,0.041071429,206.2946429,0,0.0,-4.0387349956962115,
2021-03-01,27.30497312,78.9905914,0.311424731,170.7634409,0,0.0,-21.771314736064458,
2021-04-01,28.09194444,76.17777778,0.02875,216.6555556,0,0.0,6.209306594827907,
2021-05-01,28.16061828,79.63172043,0.300537634,154.1626344,0,0.0,-39.99694430964354,
2021-06-01,28.04319444,77.025,0.021111111,199.9805556,0,0.0,9.739057156871375,
2021-07-01,27.54798387,80.20295699,0.096908602,157.0255376,0,0.0,-12.828464015549626,
2021-08-01,27.50483871,79.00806452,0.113844086,163.6034946,4,4.0,12.276923079224693,
2021-09-01,27.75916667,77.30833333,0.1875,187.8319444,210,206.0,207.78969314374766,
2021-10-01,27.7219086,79.03763441,0.088978495,195.0080645,554,344.0,460.65166420048786,
2021-11-01,27.6125,78.68888889,0.099722222,169.9472222,127,-427.0,-113.63680937183398,
2021-12-01,26.97715054,80.62768817,0.186155914,168.25,19,-108.0,-52.449735516610076,
2022-01-01,27.22849462,76.98252688,0.057795699,198.6102151,3,-16.0,-14.886101897620549,
2022-02-01,27.58392857,75.57291667,0.027678571,209.3318452,0,-3.0,-14.64677632752047,
2022-03-01,27.91989247,74.26209677,0.025403226,219.1169355,1,1.0,-23.001862956037577,
2022-04-01,28.40361111,75.80555556,0.157222222,212.4,0,-1.0,-6.905803565809046,
2022-05-01,27.97553763,81.50268817,0.282526882,138.5174731,4,4.0,-30.917109590110798,
2022-06-01,27.90152778,78.25555556,0.0775,177.0930556,8,4.0,2.3217814849424565,
2022-07-01,27.39973118,80.4516129,0.345026882,120.4623656,3,-5.0,,21.20959379525832
2022-08-01,27.10981183,80.74865591,0.222043011,157.3602151,51,48.0,,15.225265695783747
2022-09-01,26.96763889,79.89166667,0.343472222,183.7166667,59,8.0,,95.60565821495526
2022-10-01,26.88413978,81.65994624,0.289516129,161.1801075,10,-49.0,,228.21833837046816
2022-11-01,26.70055556,81.62777778,0.282916667,158.5791667,11,1.0,,64.53943405250982
2022-12-01,26.75026882,80.67876344,0.206854839,152.0241935,9,-2.0,,27.704840551160544
2023-01-01,26.70967742,76.71774194,0.091263441,188.8817204,22,13.0,,18.182232067883888
2023-02-01,27.13214286,75.01190476,0.025892857,200.9255952,6,-16.0,,17.866011603546998
2023-03-01,27.20443548,81.22715054,0.174327957,177.5120968,33,27.0,,25.38582969108306
2023-04-01,27.78263889,79.54861111,0.154166667,200.9055556,11,-22.0,,17.369387070673213
2023-05-01,27.78830645,82.65322581,0.370967742,158.9233871,49,38.0,,33.52311507495526
2023-06-01,28.11541667,79.775,0.143055556,143.8597222,51,2.0,,22.24563718944875
